Ship_Size,Engine_Power_kW,Speed_knots,Fuel_Consumption_tonnes_per_hour
Very Large,72199.41,21.7,471.04
Large,28057.39,23.6,99.37
Small,1706.05,11.6,0.2
Very Large,67225.29,20.6,415.76
Medium,7379.56,14.5,5.35
Very Large,61076.36,24.6,451.39
Large,24136.85,22.8,82.4
Small,2808.85,13.4,0.38
Large,24350.98,22.4,81.7
Very Large,95362.16,27.4,783.97
Large,47825.51,15.7,112.36
Small,2842.34,13.3,0.38
Medium,12456.34,18.0,11.22
Medium,7320.27,15.6,5.71
Very Large,81531.81,20.8,508.64
Very Large,82012.55,28.8,707.97
Large,29879.16,19.2,86.21
Medium,6591.38,13.9,4.57
Very Large,99056.56,27.6,819.9
Small,567.49,10.8,0.06
Small,4300.35,12.9,0.56
Large,45452.53,15.2,103.66
Medium,16996.44,14.8,12.55
Medium,9251.92,17.5,8.09
Large,27202.54,23.9,97.71
Medium,11138.74,14.3,7.97
Large,36671.15,24.5,134.6
Large,38195.37,21.0,120.56
Large,31359.27,19.2,90.23
Very Large,63251.75,25.4,481.26
Medium,9590.01,19.4,9.31
Small,3733.72,11.1,0.41
Large,43039.0,24.6,158.86
Very Large,79192.91,23.7,563.41
Small,2655.37,14.5,0.38
Medium,7336.27,19.0,6.99
Large,49213.42,15.1,111.34
Small,2740.89,12.8,0.35
Medium,5196.15,13.4,3.47
Large,27566.69,23.1,95.55
Very Large,61053.94,25.1,460.18
Large,26425.29,15.6,61.84
Very Large,74985.28,25.9,583.52
Small,2901.76,10.7,0.31
Very Large,99944.96,29.9,895.67
Very Large,80310.83,23.4,563.04
Very Large,70829.61,26.5,562.78
Large,26688.5,16.9,67.58
Very Large,51224.01,27.9,428.85
Medium,5181.05,16.2,4.18
Small,2192.91,10.3,0.23
Very Large,73558.63,25.7,567.89
Very Large,67492.51,26.3,532.01
Medium,8558.82,14.1,6.03
Small,4576.88,14.3,0.66
Medium,6016.95,17.8,5.35
Medium,12591.25,17.7,11.17
Very Large,71329.6,28.9,618.24
Very Large,53193.32,20.3,324.21
Very Large,94167.49,25.0,705.05
Small,3572.27,13.5,0.48
Very Large,69426.56,28.7,596.87
Very Large,81169.52,26.7,649.12
Very Large,67798.42,22.8,464.58
Small,1188.33,14.0,0.17
Very Large,72708.37,23.9,520.42
Large,34420.1,19.5,100.58
Large,22694.77,20.9,71.17
Very Large,58016.02,22.8,397.2
Large,21617.98,20.2,65.39
Very Large,80873.14,27.6,669.79
Small,1056.08,10.5,0.11
Medium,16218.85,13.6,11.01
Small,1281.07,14.8,0.19
Medium,8200.45,15.1,6.18
Large,26296.79,19.9,78.57
Large,23406.94,23.1,80.97
Large,46959.17,16.6,117.24
Medium,6051.77,12.2,3.69
Small,2293.52,10.9,0.25
Small,4308.96,12.5,0.54
Medium,11171.16,19.6,10.94
Small,2026.24,10.6,0.21
Medium,16593.11,14.7,12.21
Medium,17179.72,14.6,12.5
Small,3464.85,12.8,0.44
Very Large,50805.41,21.2,322.67
Large,22633.19,21.7,73.61
Small,4840.8,12.5,0.61
Medium,15749.48,15.5,12.2
Very Large,51157.34,25.0,383.73
Medium,6898.18,15.8,5.45
Large,34780.23,18.4,95.94
Large,49760.48,21.9,163.21
Very Large,64099.97,22.2,426.67
Small,682.29,10.6,0.07
Small,3224.05,10.4,0.34
Medium,10193.99,17.2,8.79
Very Large,54322.29,27.6,449.7
Large,37311.6,18.4,103.11
Small,3322.93,11.5,0.38
Very Large,53617.42,28.8,463.02
Medium,11250.42,15.1,8.48
Small,2261.54,11.3,0.26
Very Large,53077.83,26.6,422.83
Medium,12673.04,19.5,12.39
Large,29263.57,17.9,78.68
Very Large,96009.85,20.5,590.22
Very Large,64947.39,25.6,498.76
Small,4443.32,10.1,0.45
Medium,7781.18,16.1,6.26
Medium,11585.44,12.4,7.16
Small,2865.11,12.5,0.36
Small,3604.19,12.4,0.45
Medium,19918.39,15.4,15.3
Large,37228.81,21.2,118.5
Large,27162.98,23.4,95.16
Medium,14234.37,12.1,8.61
Medium,17490.25,13.6,11.9
Very Large,82454.03,23.5,581.36
Large,41490.63,17.2,107.31
Medium,5065.39,19.4,4.91
Large,24614.78,22.9,84.68
Large,31206.99,17.1,80.25
Small,4699.51,14.7,0.69
Small,1938.43,14.1,0.27
Medium,5109.09,12.5,3.19
Small,1899.38,10.5,0.2
Very Large,69774.0,21.7,455.2
Very Large,74692.35,20.1,450.33
Small,2762.79,10.3,0.28
Small,837.92,14.7,0.12
Small,1211.57,11.7,0.14
Very Large,87771.86,26.1,686.39
Large,46155.99,21.9,151.44
Very Large,77686.41,29.9,696.01
Medium,7935.62,12.2,4.85
Medium,8234.6,12.7,5.22
Large,24323.12,24.7,90.29
Very Large,72189.18,25.7,556.76
Very Large,93105.2,28.4,793.03
Small,4226.19,10.8,0.46
Small,526.68,13.0,0.07
Small,1055.59,14.9,0.16
Very Large,71043.86,27.3,581.23
Medium,15014.03,16.9,12.67
Medium,16954.22,12.5,10.6
Very Large,69463.32,23.1,482.08
Large,48931.5,16.1,118.5
Medium,18938.91,14.4,13.66
Large,26453.62,23.3,92.27
Small,1605.88,12.9,0.21
Very Large,69928.3,21.7,455.26
Medium,13472.29,14.7,9.91
Very Large,51330.13,25.6,394.52
Very Large,80459.77,28.5,688.7
Very Large,59601.68,26.4,471.75
Large,20349.35,20.6,62.78
Small,4116.36,12.7,0.52
Very Large,78566.98,20.7,487.13
Small,3552.89,13.0,0.46
Medium,6194.68,15.4,4.78
Small,3622.3,13.2,0.48
Small,3396.97,11.7,0.4
Large,42791.64,22.7,145.94
Medium,13301.42,12.1,8.04
Very Large,85097.36,28.4,723.94
Very Large,90899.24,25.9,705.66
Small,3390.44,13.4,0.45
Very Large,73828.4,23.0,508.54
Very Large,97588.28,27.9,817.04
Very Large,55396.23,29.3,487.26
Small,685.53,11.3,0.08
Small,2462.22,13.2,0.32
Small,2894.6,12.0,0.35
Small,2741.58,12.9,0.35
Medium,18912.55,15.7,14.81
Large,21568.29,17.5,56.73
Large,43114.44,21.2,136.9
Medium,5583.11,17.3,4.82
Large,43843.93,16.1,106.07
Very Large,65278.82,25.2,493.05
Small,2784.37,14.0,0.39
Medium,19954.86,15.4,15.37
Medium,9222.64,14.0,6.43
Large,44998.23,19.5,131.91
Small,2262.97,12.9,0.29
Medium,16035.77,13.7,10.98
Very Large,56913.27,24.3,414.85
Medium,8852.47,15.6,6.93
Large,34694.84,20.2,104.99
Very Large,97656.23,25.2,737.32
Medium,9615.86,12.9,6.2
Medium,9725.12,16.6,8.07
Small,2110.03,14.7,0.31
Large,26603.29,17.0,67.89
Large,48326.89,23.1,167.58
Large,31782.05,20.0,95.56
Large,44740.44,17.8,119.2
Very Large,51524.83,21.3,329.52
Medium,8993.5,16.1,7.25
Large,35514.51,18.7,99.62
Large,41553.42,20.2,126.11
Large,41678.35,17.0,106.56
Large,42375.93,22.9,145.86
Large,42648.21,18.3,117.03
Small,3312.62,14.3,0.47
Very Large,61294.07,26.1,480.33
Very Large,51735.81,21.0,326.26
Medium,15532.46,16.1,12.51
Small,2529.9,14.6,0.37
Very Large,96828.28,23.8,690.83
Very Large,76134.69,21.6,492.92
Large,41484.94,16.4,101.77
Medium,18957.94,18.4,17.44
Medium,8339.74,17.7,7.4
Large,41130.59,23.0,142.07
Large,33831.01,18.3,92.66
Very Large,78125.61,24.0,563.0
Large,48132.94,23.6,170.55
Medium,10965.93,15.4,8.46
Large,46852.0,18.9,133.03
Small,3736.3,12.9,0.48
Medium,15647.07,19.6,15.34
Small,2908.04,13.4,0.39
Medium,9028.36,18.2,8.22
Small,4081.61,12.4,0.51
Very Large,74063.7,26.2,581.55
Very Large,76696.42,26.0,597.3
Medium,12672.01,17.9,11.32
Large,32596.11,20.1,98.19
Small,2341.38,12.7,0.3
Small,1334.09,13.2,0.18
Very Large,74803.77,21.7,486.77
Large,39683.33,17.1,101.82
Small,3467.71,12.0,0.42
Small,987.02,14.7,0.14
Medium,10528.44,19.7,10.36
Small,1746.49,12.7,0.22
Very Large,63548.16,22.9,435.74
Large,33153.2,15.3,76.1
Medium,6141.5,14.2,4.36
Large,36381.5,20.9,114.07
Very Large,78156.33,20.1,470.29
Small,1361.72,10.8,0.15
Medium,15142.13,17.6,13.34
Medium,19876.68,13.8,13.73
Small,4792.64,14.1,0.67
Large,34093.98,20.5,105.07
Medium,17146.83,18.7,16.03
Large,44853.34,20.4,137.1
Very Large,83927.37,25.7,647.22
Large,46305.28,16.3,112.94
Very Large,73816.91,29.3,649.48
Small,1228.85,13.5,0.17
Medium,16878.6,16.7,14.06
Small,2996.9,14.0,0.42
Very Large,70118.53,20.2,425.65
Very Large,65907.61,24.5,484.7
Medium,17698.31,13.0,11.52
Medium,12990.67,15.1,9.83
Small,1698.7,14.5,0.25
Large,35043.42,20.2,106.23
Very Large,69197.44,27.4,568.14
Medium,6478.06,18.1,5.85
Large,33622.9,22.3,112.69
Large,24621.85,21.3,78.49
Very Large,74810.97,26.9,603.72
Very Large,50740.44,28.4,432.47
Large,41118.08,19.9,122.89
Medium,11719.63,13.5,7.92
Small,1397.21,11.5,0.16
Very Large,70091.98,27.2,571.31
Large,29124.66,22.7,99.21
Large,42722.07,18.6,119.0
Large,43245.75,16.3,105.72
Large,43167.77,19.3,125.27
Medium,14499.25,18.5,13.4
Very Large,89316.09,25.7,687.71
Small,1157.08,11.4,0.13
Medium,15162.0,18.1,13.7
Very Large,69055.03,27.2,563.38
Small,4894.26,13.2,0.65
Small,606.72,10.4,0.06
Small,2810.21,14.1,0.4
Medium,6321.9,18.8,5.93
Very Large,82183.96,26.1,643.33
Very Large,70205.49,22.2,467.88
Small,4860.67,12.3,0.6
Small,3042.83,14.7,0.45
Small,3334.64,10.1,0.34
Large,48302.84,16.0,115.82
Very Large,89559.86,22.6,606.85
Large,35154.97,22.5,118.54
Very Large,88280.24,24.9,660.39
Medium,7471.01,14.8,5.53
Very Large,67379.99,27.1,548.36
Small,2155.31,12.8,0.28
Small,2718.58,13.9,0.38
Very Large,82426.71,27.3,673.93
Medium,14243.26,16.0,11.39
Small,2429.26,10.9,0.27
Small,4898.16,14.2,0.7
Medium,10065.66,18.5,9.3
Large,31313.36,24.1,113.03
Large,41494.29,18.9,117.42
Small,3749.44,10.9,0.41
Medium,9659.01,15.7,7.58
Very Large,84694.03,28.8,732.83
Small,3927.84,10.3,0.4
Large,38126.16,23.8,136.1
Small,3430.39,14.3,0.49
Very Large,78040.62,22.3,521.72
Large,26049.66,15.8,61.67
Medium,12698.24,16.7,10.59
Medium,17815.19,17.5,15.58
Large,23404.21,20.5,71.85
Small,1372.97,11.4,0.16
Large,44080.37,23.1,152.67
Small,4061.09,12.9,0.52
Very Large,81634.8,28.6,701.13
Very Large,93681.69,20.8,583.32
Medium,13461.9,17.2,11.6
Large,46289.42,18.0,124.84
Small,1302.18,14.9,0.19
Large,31278.15,20.3,95.47
Very Large,93955.51,28.1,792.82
Small,2579.63,12.7,0.33
Small,3110.17,13.6,0.42
Small,3771.41,11.9,0.45
Small,3939.1,12.7,0.5
Very Large,74416.75,20.2,451.54
Medium,7705.34,18.7,7.22
Large,29027.57,16.7,72.59
Medium,6440.1,14.4,4.63
Very Large,59941.43,25.1,451.07
Small,3657.71,10.3,0.38
Small,996.77,12.3,0.12
Small,3386.27,13.9,0.47
Medium,12914.37,16.1,10.42
Small,1458.76,13.1,0.19
Very Large,70082.66,29.5,620.04
Small,4993.69,13.1,0.66
Very Large,71619.82,28.3,607.77
Medium,18869.94,14.8,14.0
Small,1807.89,11.5,0.21
Small,3092.36,13.5,0.42
Very Large,50045.29,27.2,407.65
Medium,10787.19,17.7,9.55
Very Large,68995.03,24.8,512.48
Large,38039.5,20.6,117.69
Medium,9847.91,14.5,7.16
Very Large,94378.12,22.8,646.4
Very Large,59446.49,28.6,509.95
Very Large,83660.21,28.3,709.07
Large,39894.43,18.4,110.21
Medium,14926.86,15.6,11.63
Very Large,74350.8,28.1,627.49
Small,3720.03,13.6,0.51
Small,2804.76,11.8,0.33
Medium,15876.4,13.0,10.29
Small,1431.44,14.6,0.21
Very Large,82275.57,24.0,591.48
Small,1759.72,10.5,0.19
Large,40129.86,16.6,99.94
Small,4119.44,14.5,0.6
Large,22470.47,15.0,50.65
Very Large,54986.31,23.6,389.85
Large,28881.92,22.1,95.76
Small,1306.31,13.2,0.17
Small,3127.5,11.0,0.35
Large,48680.59,17.1,125.21
Small,927.71,14.8,0.14
Medium,18935.31,15.0,14.22
Medium,7691.68,12.2,4.69
Small,1796.95,10.8,0.19
Large,48756.37,16.4,120.08
Medium,15473.23,17.0,13.14
Large,27289.05,21.4,87.69
Medium,12941.54,15.2,9.81
Medium,12359.71,19.7,12.19
Very Large,83587.24,20.7,520.27
Very Large,73225.61,29.8,654.4
Medium,19833.14,19.6,19.43
Large,48918.31,16.6,121.49
Small,4301.19,12.1,0.52
Large,38123.47,21.7,124.13
Small,652.05,13.0,0.08
Large,26311.6,17.9,70.66
Very Large,73453.02,23.3,514.35
Large,31819.63,19.2,91.47
Medium,12053.74,19.6,11.83
Large,41118.26,18.4,113.36
Medium,14562.48,17.2,12.5
Small,3391.39,11.4,0.39
Medium,15456.37,16.7,12.9
Large,45160.92,20.8,141.05
Very Large,76701.39,23.8,547.45
Very Large,50534.6,24.4,369.79
Very Large,74808.8,28.2,633.94
Medium,18076.97,13.2,11.97
Small,731.0,11.9,0.09
Medium,15695.25,13.3,10.41
Medium,5762.81,13.8,3.97
Small,2324.32,11.7,0.27
Large,24018.24,24.4,88.04
Medium,6027.54,16.1,4.85
Very Large,67781.1,27.9,567.53
Medium,11689.21,13.8,8.06
Medium,10953.32,14.1,7.72
Medium,18721.28,12.5,11.72
Medium,8628.59,15.2,6.55
Small,2839.99,13.9,0.4
Medium,5658.57,17.2,4.87
Small,4225.23,10.1,0.43
Very Large,60268.41,27.4,494.91
Small,2603.95,12.0,0.31
Large,23131.14,24.8,86.14
Small,3678.66,11.5,0.42
Medium,15834.67,13.5,10.71
Small,1754.4,12.4,0.22
Small,3837.21,11.9,0.46
Large,44088.99,19.3,127.45
Small,714.12,11.9,0.09
Large,45304.38,21.9,148.71
Medium,14972.12,14.3,10.7
Large,44024.28,24.2,159.69
Medium,11566.66,12.2,7.04
Very Large,59657.89,26.7,477.49
Medium,6982.43,15.0,5.24
Small,2373.57,14.2,0.34
Small,3154.25,11.0,0.35
Large,35338.94,24.5,130.1
Very Large,61244.34,25.2,462.91
Medium,10600.68,19.2,10.19
Large,39250.27,23.2,136.43
Small,2301.6,14.4,0.33
Large,21177.59,18.1,57.35
Medium,5844.12,15.3,4.47
Small,3678.05,13.9,0.51
Large,35452.53,21.9,116.23
Large,24797.4,19.0,70.6
Very Large,57038.92,25.1,430.06
Large,35221.82,18.3,96.63
Large,41649.46,15.7,98.38
Medium,17298.02,16.4,14.21
Medium,11935.33,15.3,9.13
Large,31493.04,23.4,110.33
Small,992.3,13.3,0.13
Large,45396.52,19.3,131.21
Large,47007.05,20.2,142.64
Large,35959.65,23.1,124.55
Small,1398.58,12.5,0.18
Very Large,90002.72,23.5,633.47
Medium,19487.58,19.5,19.03
Medium,10286.49,16.4,8.46
Medium,8268.57,17.2,7.1
Very Large,61321.48,24.8,456.36
Small,578.44,13.7,0.08
Large,25091.16,22.2,83.5
Medium,6989.66,16.1,5.64
Very Large,86796.77,21.4,556.79
Medium,10052.29,16.4,8.26
Medium,7792.48,13.0,5.07
Very Large,63414.11,28.4,540.67
Very Large,89146.71,27.5,734.46
Medium,15898.79,16.1,12.78
Small,1903.0,13.2,0.25
Very Large,71259.47,24.6,525.35
Large,40520.75,17.7,107.3
Medium,10237.41,17.4,8.89
Large,21081.12,24.3,76.93
Small,3413.51,11.7,0.4
Medium,16527.02,13.8,11.38
Very Large,62375.31,20.8,389.16
Small,1388.32,12.9,0.18
Small,508.69,13.6,0.07
Large,48424.32,23.8,173.21
Large,44614.89,15.4,103.38
Small,4937.13,10.9,0.54
Medium,17339.54,14.2,12.29
Small,2396.2,14.0,0.33
Large,35432.12,17.6,93.37
Very Large,69955.46,26.2,548.88
Small,4576.95,10.2,0.47
Very Large,96894.35,25.4,739.02
Very Large,82943.33,26.5,658.68
Very Large,75106.58,20.2,455.15
Small,3933.5,12.9,0.51
Very Large,63227.31,25.1,476.87
Medium,18034.27,19.5,17.56
Small,2366.31,14.7,0.35
Medium,16642.57,19.8,16.45
Medium,15137.17,16.5,12.47
Medium,9572.2,14.1,6.73
Small,4938.72,12.7,0.63
Very Large,83069.1,20.3,506.4
Very Large,88865.11,29.6,788.35
Large,42946.58,15.2,98.06
Medium,10466.15,14.8,7.76
Very Large,86077.69,28.6,739.29
Medium,7976.15,16.0,6.36
Very Large,94108.34,25.7,726.95
Small,3970.11,13.3,0.53
Very Large,62458.72,27.2,509.44
Small,4979.82,10.6,0.53
Medium,7329.15,18.3,6.71
Small,3783.65,14.1,0.53
Large,43617.51,19.1,124.88
Medium,15653.65,12.9,10.11
Small,4168.43,10.4,0.43
Large,37732.86,20.0,113.41
Large,47119.4,20.3,143.31
Very Large,78698.08,28.6,675.94
Medium,18040.29,15.9,14.31
Large,29962.22,16.5,74.38
Small,2149.22,12.8,0.28
Medium,17090.25,17.5,14.99
Small,3396.87,11.7,0.4
Large,47323.94,16.7,118.87
Very Large,60263.6,27.1,490.34
Medium,8147.97,16.8,6.84
Small,2733.37,12.1,0.33
Large,41619.93,20.5,128.28
Small,4200.24,12.8,0.54
Medium,19042.2,12.4,11.84
Very Large,68497.21,22.8,468.31
Large,25521.23,18.0,68.75
Small,1401.58,15.0,0.21
Large,41567.21,22.3,139.02
Very Large,98446.14,25.7,759.99
Medium,17463.84,12.3,10.77
Very Large,70715.42,24.7,524.76
Very Large,77919.22,29.2,681.95
Medium,19452.26,19.3,18.75
Very Large,58425.73,20.3,355.89
Very Large,50916.92,21.3,325.0
Very Large,80320.49,24.5,590.72
Medium,8959.41,19.6,8.77
Very Large,51477.1,24.3,375.88
Very Large,77161.0,20.2,467.71
Small,3263.41,12.7,0.41
Large,37368.12,21.5,120.35
Small,4258.53,14.5,0.62
Very Large,78388.85,29.8,701.17
Medium,5046.82,14.4,3.64
Large,43607.84,21.2,138.67
Very Large,93725.26,27.5,773.01
Small,1395.13,10.4,0.15
Very Large,83066.91,22.9,570.51
Large,32822.25,16.3,80.49
Medium,12671.55,15.5,9.83
Large,47843.18,20.3,145.7
Medium,8769.62,13.3,5.84
Very Large,65923.47,27.2,538.57
Large,40007.16,17.3,104.06
Small,4040.0,13.8,0.56
Medium,13249.68,15.9,10.56
Very Large,86880.15,26.0,677.59
Medium,16244.39,13.1,10.63
Large,37034.84,23.3,129.53
Large,21813.1,19.4,63.58
Very Large,73504.8,23.9,526.98
Medium,19259.18,17.1,16.44
Very Large,78974.71,26.7,631.43
Medium,18647.35,19.0,17.68
Very Large,60999.97,24.8,453.7
Large,21002.54,23.2,72.96
Small,3125.46,14.7,0.46
Large,44562.14,16.2,108.59
Small,1163.36,13.5,0.16
Small,2288.7,11.1,0.25
Large,42279.82,16.8,106.54
Very Large,80363.33,24.8,597.09
Large,29512.2,24.4,107.99
Large,42888.47,22.6,145.36
Large,41105.24,21.0,129.35
Medium,9989.85,16.0,8.0
Large,32505.04,20.6,100.45
Small,953.63,11.3,0.11
Medium,16238.54,19.5,15.83
Very Large,50411.16,27.4,413.79
Large,41070.15,17.8,109.6
Very Large,82695.06,26.7,662.94
Small,2770.88,14.9,0.41
Medium,18426.59,17.3,15.92
Very Large,60405.5,23.1,418.83
Very Large,78135.58,21.0,492.19
Small,4969.52,10.1,0.5
Medium,13372.01,18.1,12.11
Large,23498.09,18.7,65.83
Large,42714.52,24.9,159.23
Very Large,94243.71,27.0,763.25
Large,32295.43,20.2,98.09
Medium,10115.26,13.5,6.83
Medium,12901.53,14.5,9.38
Small,3774.94,10.6,0.4
Medium,8449.42,13.2,5.57
Small,1594.73,14.4,0.23
Very Large,75178.84,28.9,652.72
Large,49711.23,16.9,126.18
Medium,9555.81,19.9,9.49
Large,35693.9,21.3,114.2
Large,21705.22,24.8,80.69
Medium,5317.59,14.8,3.93
Very Large,74851.18,20.3,456.31
Medium,5253.65,16.9,4.45
Very Large,87864.78,22.3,587.02
Very Large,65624.42,23.5,462.26
Very Large,92350.6,28.3,783.48
Small,2373.17,11.3,0.27
Small,1585.43,10.8,0.17
Very Large,80342.99,24.9,599.87
Large,30132.68,22.0,99.57
Medium,10116.54,16.3,8.26
Large,29588.54,16.7,74.01
Small,3002.24,11.4,0.34
Large,34763.5,15.9,83.13
Large,40068.61,22.5,135.05
Large,22826.31,22.5,77.19
Large,49711.23,21.8,162.78
Medium,15777.97,12.6,9.93
Small,1154.71,14.2,0.16
Very Large,80036.99,26.8,643.94
Large,26023.0,16.1,62.75
Large,33809.64,15.4,78.07
Very Large,81260.85,28.3,689.27
Medium,13507.45,16.4,11.09
Medium,9319.68,19.3,9.0
Small,2289.16,13.1,0.3
Medium,18411.61,19.1,17.59
Very Large,92897.6,23.9,666.46
Medium,7661.47,15.8,6.06
Very Large,52656.03,28.0,441.61
Small,1659.46,11.8,0.2
Large,47042.0,23.3,164.69
Very Large,90523.48,28.3,768.02
Large,31750.0,24.2,115.04
Large,40232.98,19.0,114.94
Medium,12472.26,15.7,9.77
Medium,5317.88,13.8,3.67
Small,1590.88,10.9,0.17
Small,2939.62,13.4,0.4
Large,38799.31,22.3,129.64
Large,32327.65,20.4,98.85
Small,2191.82,13.2,0.29
Very Large,57376.19,21.0,360.88
Very Large,58528.02,21.4,375.09
Medium,5324.72,16.2,4.3
Medium,18329.64,13.8,12.66
Large,42308.86,24.9,157.76
Large,26043.84,17.3,67.75
Large,37937.88,17.1,97.41
Large,29643.87,16.6,73.8
Small,3753.05,13.2,0.5
Large,20853.72,21.3,66.61
Large,45536.22,21.8,148.97
Large,37111.62,24.1,133.96
Large,41006.44,20.0,123.16
Very Large,77094.01,20.9,483.67
Large,28488.43,17.4,74.28
Small,1671.79,10.1,0.17
Small,2628.41,13.4,0.35
Medium,7906.08,14.1,5.57
Very Large,69139.72,25.9,537.04
Large,34212.8,23.0,118.01
Small,877.31,11.7,0.1
Very Large,91570.83,22.7,624.85
Very Large,63685.5,25.1,478.79
Large,29545.26,17.7,78.3
Large,23892.87,22.5,80.64
Large,49524.95,15.2,112.91
Medium,9836.68,19.4,9.55
Very Large,70144.48,29.4,617.67
Medium,8534.66,19.2,8.17
Medium,18100.76,12.7,11.47
Very Large,65212.32,25.1,491.93
Small,4740.51,14.1,0.67
Large,48631.08,24.2,176.63
Medium,9652.21,15.6,7.53
Very Large,80578.83,27.8,671.81
Medium,6329.49,19.4,6.13
Medium,13764.02,12.4,8.53
Small,2122.08,12.2,0.26
Medium,19955.33,15.6,15.61
Medium,17433.95,12.9,11.22
Small,3709.49,10.8,0.4
Very Large,80954.65,21.4,520.63
Large,39727.05,23.8,142.01
Large,40315.72,19.8,119.98
Large,43475.36,20.4,133.31
Very Large,52274.33,28.5,446.26
Very Large,90304.11,22.8,617.48
Medium,19968.73,14.1,14.05
Medium,5053.66,12.4,3.13
Large,47247.76,18.1,128.24
Very Large,64877.34,29.1,566.9
Very Large,52677.23,27.1,428.15
Large,32813.2,20.5,101.13
Small,3675.18,11.0,0.4
Medium,17007.73,14.0,11.93
Very Large,51431.56,22.0,339.41
Large,21788.77,23.1,75.58
Small,2711.07,14.4,0.39
Medium,14201.68,14.8,10.53
Medium,15409.88,13.3,10.27
Large,47512.35,25.0,178.05
Very Large,67523.51,28.6,579.11
Medium,16092.55,19.7,15.89
Small,3671.58,14.5,0.53
Medium,18102.1,13.8,12.51
Very Large,76049.57,24.9,567.54
Very Large,60062.52,22.8,411.67
Medium,17316.66,15.5,13.41
Large,38678.78,21.5,124.9
Very Large,55018.37,26.3,434.72
Medium,13991.43,12.5,8.72
Large,46031.16,15.0,103.72
Medium,11721.13,14.8,8.66
Very Large,80077.43,26.1,626.12
Very Large,98530.0,25.5,755.21
Large,33943.53,25.0,127.16
Large,38989.98,15.5,90.83
Very Large,90700.84,27.8,755.59
Small,4347.9,13.3,0.58
Medium,17931.26,19.1,17.17
Large,44756.45,16.4,110.28
Small,4407.46,14.5,0.64
Small,2737.13,14.0,0.38
Small,2954.13,10.3,0.3
Medium,9995.59,15.2,7.6
Very Large,75131.99,24.9,561.64
Small,4861.62,13.0,0.63
Large,25869.99,24.7,95.96
Large,44533.87,20.7,138.13
Large,38305.36,16.5,95.03
Large,36886.99,24.5,135.58
Small,1799.0,14.7,0.26
Very Large,77692.01,23.8,555.37
Large,32547.92,20.6,100.54
Large,28242.09,19.8,83.87
Medium,9910.65,18.2,9.04
Medium,10191.66,18.0,9.16
Large,23107.3,23.4,81.03
Very Large,94472.34,30.0,850.07
Medium,12079.06,19.3,11.63
Medium,16001.9,15.1,12.09
Medium,11839.19,14.8,8.73
Very Large,96552.95,26.2,759.9
Medium,19592.85,14.1,13.85
Large,27662.31,21.1,87.7
Medium,12139.73,20.0,12.11
Medium,14002.73,14.3,9.99
Large,47087.03,23.1,163.47
Medium,9042.66,13.2,5.95
Medium,5303.54,16.2,4.29
Small,2574.37,10.1,0.26
Very Large,95572.7,21.6,619.8
Large,48264.27,16.8,121.56
Very Large,89924.8,25.2,680.92
Medium,14347.21,18.7,13.43
Small,1094.95,13.6,0.15
Large,47310.39,18.3,129.64
Large,34617.49,18.6,96.35
Large,42432.21,17.5,111.53
Large,27343.69,15.5,63.55
Large,23111.9,23.4,80.98
Very Large,81380.99,23.2,566.86
Medium,5383.68,18.4,4.95
Very Large,56886.42,26.1,445.79
Large,35284.48,22.5,118.94
Medium,9470.63,12.3,5.82
Small,1468.49,10.3,0.15
Small,1931.04,14.0,0.27
Very Large,85960.57,28.8,743.14
Small,3708.64,11.4,0.42
Large,44237.96,16.7,110.63
Small,2491.21,13.2,0.33
Small,1950.34,12.8,0.25
Medium,16096.95,17.6,14.2
Very Large,79955.93,29.9,717.71
Very Large,71613.56,24.1,518.36
Medium,17971.34,15.6,13.98
Large,46763.36,15.3,107.38
Small,3082.78,14.3,0.44
Medium,5812.02,16.8,4.87
Very Large,66789.33,20.0,401.37
Medium,13439.81,15.8,10.64
Medium,17379.52,12.5,10.89
Small,3952.75,14.5,0.57
Large,39763.58,21.2,126.64
Small,1834.26,10.8,0.2
Large,36307.82,19.7,107.18
Large,37501.59,22.5,126.57
Very Large,68909.73,27.1,560.24
Small,1893.94,14.9,0.28
Very Large,50441.59,21.9,331.46
Large,26931.08,15.5,62.48
Small,2861.68,12.7,0.36
Small,4678.35,13.0,0.61
Medium,10151.31,15.7,7.96
Medium,10313.99,19.2,9.93
Medium,11738.9,17.2,10.11
Very Large,56368.6,28.2,477.51
Small,2204.81,14.5,0.32
Medium,13307.54,16.2,10.8
Medium,7415.69,14.6,5.4
Large,44080.27,16.4,108.41
Medium,13446.41,16.7,11.26
Medium,8810.32,18.9,8.32
Large,30041.68,16.8,75.88
Very Large,54553.31,24.7,404.88
Small,1447.84,14.7,0.21
Small,4600.65,12.0,0.55
Medium,11260.22,19.7,11.09
Medium,16224.78,19.0,15.37
Small,4508.86,11.3,0.51
Small,2067.24,11.9,0.25
Very Large,69860.37,22.1,463.63
Very Large,56726.27,21.7,369.76
Very Large,50324.75,21.1,318.52
Very Large,95138.8,29.6,845.49
Medium,9550.55,17.7,8.46
Medium,8124.9,16.2,6.58
Medium,14259.37,15.2,10.87
Very Large,68415.52,23.6,485.21
Very Large,84680.88,29.3,744.88
Large,42524.34,17.7,112.62
Small,2387.93,12.4,0.3
Small,4753.03,11.1,0.53
Medium,15312.53,15.8,12.07
Small,4966.65,13.4,0.67
Medium,10434.43,14.5,7.59
